"filename", "language", "JavaScript", "JavaScript JSX", "XML", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/SettingIcon.jsx", "JavaScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 3, 36
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/ShareIcon.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/BorderlessInputbar.jsx", "JavaScript JSX", 0, 64, 0, 0, 0, 0, 0, 0, 7, 71
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/DateInput.jsx", "JavaScript JSX", 0, 100, 0, 0, 0, 0, 0, 0, 8, 108
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/InputbarWithAnimatedPlaceholder.jsx", "JavaScript JSX", 0, 84, 0, 0, 0, 0, 0, 0, 10, 94
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/PhoneNumberInput.jsx", "JavaScript JSX", 0, 112, 0, 0, 0, 0, 0, 0, 6, 118
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/chip/InterestChip.jsx", "JavaScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/dropdown/CustomDropDown.jsx", "JavaScript JSX", 0, 158, 0, 0, 0, 0, 0, 0, 6, 164
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/otp/OtpInputBoxes.jsx", "JavaScript JSX", 0, 85, 0, 0, 0, 0, 0, 0, 12, 97
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/search/SearchInputChat.jsx", "JavaScript JSX", 0, 78, 0, 0, 0, 0, 0, 0, 7, 85
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/search/SearchInputMenubar.jsx", "JavaScript JSX", 0, 78, 0, 0, 0, 0, 0, 0, 7, 85
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/textarea/TextAreaWithActions.jsx", "JavaScript JSX", 0, 73, 0, 0, 0, 0, 0, 0, 7, 80
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/logo/LogoMenu.jsx", "JavaScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 3, 36
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/menubar/MenubarDashboard.jsx", "JavaScript JSX", 0, 67, 0, 0, 0, 0, 0, 0, 3, 70
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/menubar/MenubarDefault.jsx", "JavaScript JSX", 0, 70, 0, 0, 0, 0, 0, 0, 5, 75
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/menubar/MessageMenubarDashboard.jsx", "JavaScript JSX", 0, 50, 0, 0, 0, 0, 0, 0, 3, 53
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/menubar/sideMenuBar/SideMenuBarDesktop.jsx", "JavaScript JSX", 0, 290, 0, 0, 0, 0, 0, 0, 7, 297
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/spacer/MenubarSpacer.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/spacer/MenubarSpacerDashboard.jsx", "JavaScript JSX", 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/textBlocks/BasicWidgetTitleBlock.jsx", "JavaScript JSX", 0, 45, 0, 0, 0, 0, 0, 0, 4, 49
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/textBlocks/ResendOtpTextBlock.jsx", "JavaScript JSX", 0, 36, 0, 0, 0, 0, 0, 0, 3, 39
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/textBlocks/SigninTextBlock.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/textBlocks/SignupTextBlock.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/application/ApplicationsAndTasksCreatedByMeWidget.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/application/ApplicationsCreatedByMeWidget.jsx", "JavaScript JSX", 0, 164, 0, 0, 0, 0, 0, 0, 6, 170
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/application/MyApplicationWidget.jsx", "JavaScript JSX", 0, 129, 0, 0, 0, 0, 0, 0, 3, 132
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/chat/ChatCard.jsx", "JavaScript JSX", 0, 63, 0, 0, 0, 0, 0, 0, 5, 68
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/chat/ChatMessageCard.jsx", "JavaScript JSX", 0, 54, 0, 0, 0, 0, 0, 0, 3, 57
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/chip/ActionChip.jsx", "JavaScript JSX", 0, 38, 0, 0, 0, 0, 0, 0, 3, 41
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/chip/PriceChip.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/chip/SkillChip.jsx", "JavaScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 3, 30
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/chip/SuccesssChip.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 4, 35
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/chip/TypeChip.jsx", "JavaScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 4, 37
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/duration/DurationWidget.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/education/EditEducation.jsx", "JavaScript JSX", 0, 91, 0, 0, 0, 0, 0, 0, 7, 98
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/education/EducationCard.jsx", "JavaScript JSX", 0, 69, 0, 0, 0, 0, 0, 0, 4, 73
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/experience/EditExperience.jsx", "JavaScript JSX", 0, 95, 0, 0, 0, 0, 0, 0, 7, 102
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/experience/ExperienceCard.jsx", "JavaScript JSX", 0, 73, 0, 0, 0, 0, 0, 0, 5, 78
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/job/JobDetails.jsx", "JavaScript JSX", 0, 49, 0, 0, 0, 0, 0, 0, 4, 53
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/notification/ContentNotification.jsx", "JavaScript JSX", 0, 70, 0, 0, 0, 0, 0, 0, 4, 74
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/notification/JobNotification.jsx", "JavaScript JSX", 0, 90, 0, 0, 0, 0, 0, 0, 4, 94
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/notification/MessageNotification.jsx", "JavaScript JSX", 0, 83, 0, 0, 0, 0, 0, 0, 4, 87
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/notification/NotificationBottomSection.jsx", "JavaScript JSX", 0, 30, 0, 0, 0, 0, 0, 0, 3, 33
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/notification/NotificationWidget.jsx", "JavaScript JSX", 0, 69, 0, 0, 0, 0, 0, 0, 3, 72
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/notification/buttons/MarkAllAsReadButton.jsx", "JavaScript JSX", 0, 43, 0, 0, 0, 0, 0, 0, 3, 46
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/profile/ProfileWidgetMenubar.jsx", "JavaScript JSX", 0, 40, 0, 0, 0, 0, 0, 0, 3, 43
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/progressbar/VerticalProgresssbar.jsx", "JavaScript JSX", 0, 37, 0, 0, 0, 0, 0, 0, 4, 41
