"filename", "language", "JavaScript JSX", "JavaScript", "JSON", "comment", "blank", "total"
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/package-lock.json", "JSON", 0, 0, 137, 0, 0, 137
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/package.json", "JSON", 0, 0, 1, 0, 0, 1
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/Chat.jsx", "JavaScript JSX", 61, 0, 0, 2, 7, 70
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/common/manager/contextManager/SocketContextManager.js", "JavaScript", 0, 34, 0, 1, 8, 43
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/common/manager/contextManager/ToastContextManager.js", "JavaScript", 0, 35, 0, 0, 8, 43
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/common/manager/jobManager/JobManager.js", "JavaScript", 0, 17, 0, 0, 2, 19
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/common/manager/projectManager/ProjectManager.js", "JavaScript", 0, 203, 0, 0, 4, 207
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/common/manager/reviewManager/ReviewManager.js", "JavaScript", 0, 30, 0, 0, 2, 32
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/common/manager/searchManager/SearchManager.js", "JavaScript", 0, 36, 0, 0, 2, 38
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/common/manager/userManager/UserManager.js", "JavaScript", 0, 14, 0, 0, 2, 16
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/CancelButton.jsx", "JavaScript JSX", 33, 0, 0, 0, 3, 36
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/ChatButton.jsx", "JavaScript JSX", 55, 0, 0, 0, 3, 58
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/CreateTaskButton.jsx", "JavaScript JSX", 51, 0, 0, 0, 3, 54
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/DeleteButton.jsx", "JavaScript JSX", 37, 0, 0, 0, 3, 40
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/EditJobDetailsButton.jsx", "JavaScript JSX", 47, 0, 0, 0, 3, 50
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/FilledButton.jsx", "JavaScript JSX", -1, 0, 0, 0, 0, -1
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/LikeButton.jsx", "JavaScript JSX", 34, 0, 0, 0, 3, 37
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/SendMessageButton.jsx", "JavaScript JSX", 16, 0, 0, 0, 3, 19
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/ShareButton.jsx", "JavaScript JSX", 20, 0, 0, 0, 0, 20
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/TickButtonRound.jsx", "JavaScript JSX", 33, 0, 0, 0, 3, 36
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/CalendarIcon.jsx", "JavaScript JSX", 16, 0, 0, 0, 3, 19
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/CancelIcon.jsx", "JavaScript JSX", 23, 0, 0, 0, 3, 26
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/ClockIcon.jsx", "JavaScript JSX", -6, 0, 0, 0, 0, -6
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/DeleteIcon.jsx", "JavaScript JSX", 23, 0, 0, 0, 3, 26
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/EditIcon.jsx", "JavaScript JSX", 24, 0, 0, 0, 3, 27
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/HeartIcon.jsx", "JavaScript JSX", 16, 0, 0, 0, 3, 19
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/ProfileIcon.jsx", "JavaScript JSX", 5, 0, 0, 0, 0, 5
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/SearchIcon.jsx", "JavaScript JSX", 19, 0, 0, 0, 3, 22
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/ShareIcon.jsx", "JavaScript JSX", 3, 0, 0, 0, 0, 3
