"filename", "language", "JavaScript", "JavaScript JSX", "XML", "CSS", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/SendMessageButton.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/ShareButton.jsx", "JavaScript JSX", 0, 35, 0, 0, 0, 0, 0, 0, 3, 38
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/TextAreaFilledButton.jsx", "JavaScript JSX", 0, 30, 0, 0, 0, 0, 0, 0, 4, 34
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/TextAreaOutlinedButton.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 4, 35
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/TickButtonRound.jsx", "JavaScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 3, 36
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/TransparentButton.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/CalendarIcon.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/CancelIcon.jsx", "JavaScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/ClockIcon.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/DeleteIcon.jsx", "JavaScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/EditIcon.jsx", "JavaScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/GenerateProfileIconFromWord.jsx", "JavaScript JSX", 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/HeartIcon.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/Icon.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/LikeIcon.jsx", "JavaScript JSX", 0, 30, 0, 0, 0, 0, 0, 0, 3, 33
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/LinkIcon.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/MarkAsReadIcon.jsx", "JavaScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/MessageIcon.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/NotificationIcon.jsx", "JavaScript JSX", 0, 29, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/ProfileIcon.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/SearchIcon.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/SendMessageIcon.jsx", "JavaScript JSX", 0, 29, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/SettingIcon.jsx", "JavaScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 3, 36
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/ShareIcon.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/TickIcon.jsx", "JavaScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/BorderlessInputbar.jsx", "JavaScript JSX", 0, 70, 0, 0, 0, 0, 0, 0, 7, 77
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/DateInput.jsx", "JavaScript JSX", 0, 100, 0, 0, 0, 0, 0, 0, 8, 108
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/InputbarWithAnimatedPlaceholder.jsx", "JavaScript JSX", 0, 84, 0, 0, 0, 0, 0, 0, 10, 94
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/PhoneNumberInput.jsx", "JavaScript JSX", 0, 112, 0, 0, 0, 0, 0, 0, 6, 118
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/chip/InterestChip.jsx", "JavaScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/dropdown/CustomDropDown.jsx", "JavaScript JSX", 0, 158, 0, 0, 0, 0, 0, 0, 6, 164
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/otp/OtpInputBoxes.jsx", "JavaScript JSX", 0, 85, 0, 0, 0, 0, 0, 0, 12, 97
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/search/SearchInputChat.jsx", "JavaScript JSX", 0, 92, 0, 0, 0, 0, 0, 0, 7, 99
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/search/SearchInputMenubar.jsx", "JavaScript JSX", 0, 106, 0, 0, 0, 0, 0, 0, 8, 114
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/textarea/TextAreaWithActions.jsx", "JavaScript JSX", 0, 75, 0, 0, 0, 0, 0, 0, 7, 82
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/textarea/TextAreaWithWordCount.jsx", "JavaScript JSX", 0, 79, 0, 0, 0, 0, 0, 0, 7, 86
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/logo/LogoMenu.jsx", "JavaScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 3, 36
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/menubar/MenubarDashboard.jsx", "JavaScript JSX", 0, 236, 0, 0, 0, 0, 0, 0, 4, 240
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/menubar/MenubarDefault.jsx", "JavaScript JSX", 0, 70, 0, 0, 0, 0, 0, 0, 5, 75
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/menubar/MessageMenubarDashboard.jsx", "JavaScript JSX", 0, 50, 0, 0, 0, 0, 0, 0, 3, 53
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/menubar/sideMenuBar/SideMenuBarDesktop.jsx", "JavaScript JSX", 0, 290, 0, 0, 0, 0, 0, 0, 7, 297
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/spacer/MenubarSpacer.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/spacer/MenubarSpacerDashboard.jsx", "JavaScript JSX", 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/textBlocks/BasicWidgetTitleBlock.jsx", "JavaScript JSX", 0, 47, 0, 0, 0, 0, 0, 0, 4, 51
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/textBlocks/ResendOtpTextBlock.jsx", "JavaScript JSX", 0, 36, 0, 0, 0, 0, 0, 0, 3, 39
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/textBlocks/SigninTextBlock.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/textBlocks/SignupTextBlock.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/application/ApplicationFullCard.jsx", "JavaScript JSX", 0, 180, 0, 0, 0, 0, 0, 0, 3, 183
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/application/ApplicationsAndTasksCreatedByMeWidget.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/application/ApplicationsCreatedByMeWidget.jsx", "JavaScript JSX", 0, 156, 0, 0, 0, 0, 0, 0, 6, 162
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/application/MyApplicationWidget.jsx", "JavaScript JSX", 0, 136, 0, 0, 0, 0, 0, 0, 3, 139
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/chat/ChatCard.jsx", "JavaScript JSX", 0, 93, 0, 0, 0, 0, 0, 0, 5, 98
